Description (Customer #),Qty,P/N,Column1,Column2
12v-24v Boost Regulator,1,TPS613771RYHR,,
Capacitor 0.1uF 0603,7,MLASH168SB7104KTNA01,,
Capacitor 0.22uF 0603,2,MSASU168SB7224KTNB25,,
Capacitor 0.47uF 0603,1,0603B474K500CT,,
Capacitor 10uF 0805,5,GRM21BR61H106KE43K,,
Capacitor 15pF 0603,1,0603N150J250CT,,
Capacitor 1uF 0603,7,MLASU168SB5105KTNA01,,
Capacitor 2.2uF 0805,3,MCJCT21GCB7225MTPA1J,,
Capacitor 2200pF 0603,1,GCJ188R71E222KA01D,,
Capacitor 22uF 0805,5,GRM21BR61E226ME44L ,,
Capacitor 4.7uF 0805,3,08055D475KAT4A,,
Connector 1x2 Nanofit,2,1053091202,,
Connector 1x4 Nanofit,2,105309-1304,,
Connector 2x5 Nanofit,2,SFH11-PBPC-D05-ST-BK,Digikey Only,Substitute: 90151-2210
Diode Zener 15V,1,SMAF4744A-TP,,
Diode Zener 30V,1,SMAF4751A-TP ,,
Diodes LED 0603 RED,4,LS Q976.01-N1Q2-1,,
Diodes Schottky 20V 3A,2,SK32A-LTP,,
Fuse Holder 0.63,1,3568,,
Inductor 4.7uH,1,XGL4020-472MEC,Digikey Only,No Substitute
LCD Display 3V,1,NHD-C12832A1Z-FSB-FBW-3V3,,
LeaderSOM,1,,,
NMOS PSMN8R5-40MSDX,3,PSMN8R5-40MSDX,,
Resistor 0k 0603,1,CRCW06030000Z0EE,,
Resistor 1.5M 0603,1,CRCW06031M50JNTA,,
Resistor 100k 0603,2,CRCW0603100KFKEE,,
Resistor 10k 0603,3,CRCW060310K0FKEI,,
Resistor 1k 0603,1,CRCW06031K00FKEI,,
Resistor 29.4k 0603,1,CRCW060329K4FKEAC,,
Resistor 4.3k 0603,2,CRCW06034K30FKEA,,
Resistor 47k 0603,1,CRCW060347K0FKECC,,
Resistor 590 0603,4,CRCW0402590RFKED,,
Resistor 64.9k 0603,1,CRCW060364K9FKEA,,
Resistor 80.6k 0603,1,CRCW060380K6FKEA,,
RPP Controller,2,LM74502HDDFR,,
